id_imdb,type,name,release_year,release_month, genre
tt0167260,Movie,The Lord of the Rings: The Return of the King,2003,12,Fantasy
tt0169547,Movie,American Beauty,1999,1,Comedy
tt0172495,Movie,Gladiator,2000,5,Drama
tt0268978,Movie,A Beautiful Mind,2001,2,Drama
tt0299658,Movie,Chicago,2002,2,Musical
tt0375679,Movie,Crash,2004,10,Drama
tt0405159,Movie,Million Dollar Baby,2004,2,Drama
tt0407887,Movie,The Departed,2006,11,Thriller
tt0477348,Movie,No Country for Old Men,2007,2,Thriller
tt0887912,Movie,The Hurt Locker,2008,2,War
tt1010048,Movie,Slumdog Millionaire,2008,2,Drama
tt1024648,Movie,Argo,2012,11,Biography
tt10366460,Movie,CODA,2021,8,Comedy
tt1504320,Movie,The King's Speech,2010,2,History
tt15398776,Movie,Oppenheimer,2023,7,Biography
tt1655442,Movie,The Artist,2011,11,Comedy
tt1895587,Movie,Spotlight,2015,1,Biography
tt2024544,Movie,12 Years a Slave,2013,2,Biography
tt2562232,Movie,Birdman or (The Unexpected Virtue of Ignorance),2014,1,Drama
tt4975722,Movie,Moonlight,2016,1,Drama
tt5580390,Movie,The Shape of Water,2017,2,Romance
tt6710474,Movie,Everything Everywhere All at Once,2022,5,Comedy
tt6751668,Movie,Gisaengchung,2019,11,Thriller
tt6966692,Movie,Green Book,2018,1,Biography
tt9770150,Movie,Nomadland,2020,4,Drama
