ceremony_year,best_movie,best_director,best_actor,best_actress
2000,American Beauty,S. Mendes,K. Spacey,H. Swank
2001,Gladiator,S. Soderbergh,R. Crowe,J. Roberts
2002,A Beautiful Mind,R. Howard,D. Washington,H. Berry
2003,Chicago,R. Polanski,A. Brody,N. Kidman
2004,The Lord of the Rings: The Return of the King,P. Jackson,S. Penn,C. Theron
2005,Million Dollar Baby,C. Eastwood,J. Foxx,H. Swank
2006,Crash,A. Lee,P. S. Hoffman,R. Witherspoon
2007,The Departed,M. Scorsese,F. Whitaker,H. Mirren
2008,No Country for Old Men,J. Coen E. Coen,D. Day-Lewis,M. Cotillard
2009,Slumdog Millionaire,D. Boyle,S. Penn,K. Winslet
2010,The Hurt Locker,K. Bigelow,J. Bridges,S. Bullock
2011,The King's Speech,T. Hooper,C. Firth,N. Portman
2012,The Artist,M. Hazanavicius,J. Dujardin,M. Streep
2013,Argo,A. Lee,D. Day-Lewis,J. Lawrence
2014,12 Years a Slave,A. Cuarón,M. McConaughey,C. Blanchett
2015,Birdman or (The Unexpected Virtue of Ignorance),A. G. Iñárritu,E. Redmayne,J.Moore
2016,Spotlight,A. G. Iñárritu,L. DiCaprio,B. Larson
2017,Moonlight,D. Chazelle,C. Affleck,E. Stone
2018,The Shape of Water,G. del Toro,G. Oldman,F. McDormand
2019,Green Book,A. Cuarón,R. Malek,O. Colman
2020,Parasite,Bong J.,J. Phoenix,R. Zellweger
2021,Nomadland,C. Zhao,A. Hopkins,F. McDormand
2022,CODA,J. Campion,W. Smith,J. Chastain
2023,Everything Everywhere All at Once,D. Kwan D. Scheinert,B. Fraser,M. Yeoh
2024,Oppenheimer,C. Nolan,C. Murphy,E. Stone
